date,store_id,item_id,qty_sold,unit_cost,promo_flag,stockout_flag,lead_time,ordering_cost,holding_rate,day_of_week,month,week_of_year,is_weekend,quarter,year
2022-01-01,S01,ITEM_A,40.0,50.0,0,0,7.0,500.0,0.2,5,1,52,1,1,2022
2022-01-02,S01,ITEM_A,37.0,50.0,0,0,7.0,500.0,0.2,6,1,52,1,1,2022
2022-01-03,S01,ITEM_A,23.0,50.0,0,0,7.0,500.0,0.2,0,1,1,0,1,2022
2022-01-04,S01,ITEM_A,24.0,50.0,0,0,7.0,500.0,0.2,1,1,1,0,1,2022
2022-01-05,S01,ITEM_A,41.0,50.0,1,0,7.0,500.0,0.2,2,1,1,0,1,2022
2022-01-06,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,3,1,1,0,1,2022
2022-01-07,S01,ITEM_A,28.0,50.0,1,0,7.0,500.0,0.2,4,1,1,0,1,2022
2022-01-08,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,5,1,1,1,1,2022
2022-01-09,S01,ITEM_A,25.0,50.0,0,0,7.0,500.0,0.2,6,1,1,1,1,2022
2022-01-10,S01,ITEM_A,24.0,50.0,0,0,7.0,500.0,0.2,0,1,2,0,1,2022
2022-01-11,S01,ITEM_A,23.0,50.0,0,0,7.0,500.0,0.2,1,1,2,0,1,2022
2022-01-12,S01,ITEM_A,20.0,50.0,0,0,7.0,500.0,0.2,2,1,2,0,1,2022
2022-01-13,S01,ITEM_A,28.0,50.0,0,0,7.0,500.0,0.2,3,1,2,0,1,2022
2022-01-14,S01,ITEM_A,19.0,50.0,0,0,7.0,500.0,0.2,4,1,2,0,1,2022
2022-01-15,S01,ITEM_A,34.0,50.0,0,0,7.0,500.0,0.2,5,1,2,1,1,2022
2022-01-16,S01,ITEM_A,0.0,50.0,0,0,7.0,500.0,0.2,6,1,2,1,1,2022
2022-01-17,S01,ITEM_A,20.0,50.0,0,0,7.0,500.0,0.2,0,1,3,0,1,2022
2022-01-18,S01,ITEM_A,15.0,50.0,0,0,7.0,500.0,0.2,1,1,3,0,1,2022
2022-01-19,S01,ITEM_A,26.0,50.0,0,0,7.0,500.0,0.2,2,1,3,0,1,2022
2022-01-20,S01,ITEM_A,0.0,50.0,0,0,7.0,500.0,0.2,3,1,3,0,1,2022
2022-01-21,S01,ITEM_A,39.0,50.0,1,0,7.0,500.0,0.2,4,1,3,0,1,2022
2022-01-22,S01,ITEM_A,26.0,50.0,0,0,7.0,500.0,0.2,5,1,3,1,1,2022
2022-01-23,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,6,1,3,1,1,2022
2022-01-24,S01,ITEM_A,44.0,50.0,1,0,7.0,500.0,0.2,0,1,4,0,1,2022
2022-01-25,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,1,1,4,0,1,2022
2022-01-26,S01,ITEM_A,24.0,50.0,0,0,7.0,500.0,0.2,2,1,4,0,1,2022
2022-01-27,S01,ITEM_A,20.0,50.0,0,0,7.0,500.0,0.2,3,1,4,0,1,2022
2022-01-28,S01,ITEM_A,24.0,50.0,0,0,7.0,500.0,0.2,4,1,4,0,1,2022
2022-01-29,S01,ITEM_A,0.0,50.0,0,0,7.0,500.0,0.2,5,1,4,1,1,2022
2022-01-30,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,6,1,4,1,1,2022
2022-01-31,S01,ITEM_A,26.0,50.0,0,0,7.0,500.0,0.2,0,1,5,0,1,2022
2022-02-01,S01,ITEM_A,50.0,50.0,1,0,7.0,500.0,0.2,1,2,5,0,1,2022
2022-02-02,S01,ITEM_A,35.0,50.0,1,0,7.0,500.0,0.2,2,2,5,0,1,2022
2022-02-03,S01,ITEM_A,25.0,50.0,0,0,7.0,500.0,0.2,3,2,5,0,1,2022
2022-02-04,S01,ITEM_A,24.0,50.0,0,0,7.0,500.0,0.2,4,2,5,0,1,2022
2022-02-05,S01,ITEM_A,25.0,50.0,0,0,7.0,500.0,0.2,5,2,5,1,1,2022
2022-02-06,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,6,2,5,1,1,2022
2022-02-07,S01,ITEM_A,18.0,50.0,0,0,7.0,500.0,0.2,0,2,6,0,1,2022
2022-02-08,S01,ITEM_A,36.0,50.0,1,0,7.0,500.0,0.2,1,2,6,0,1,2022
2022-02-09,S01,ITEM_A,22.0,50.0,0,0,7.0,500.0,0.2,2,2,6,0,1,2022
2022-02-10,S01,ITEM_A,19.0,50.0,0,0,7.0,500.0,0.2,3,2,6,0,1,2022
2022-02-11,S01,ITEM_A,32.0,50.0,0,0,7.0,500.0,0.2,4,2,6,0,1,2022
2022-02-12,S01,ITEM_A,33.0,50.0,0,0,7.0,500.0,0.2,5,2,6,1,1,2022
2022-02-13,S01,ITEM_A,30.0,50.0,0,0,7.0,500.0,0.2,6,2,6,1,1,2022
2022-02-14,S01,ITEM_A,35.0,50.0,0,0,7.0,500.0,0.2,0,2,7,0,1,2022
2022-02-15,S01,ITEM_A,19.0,50.0,0,0,7.0,500.0,0.2,1,2,7,0,1,2022
2022-02-16,S01,ITEM_A,20.0,50.0,0,0,7.0,500.0,0.2,2,2,7,0,1,2022
2022-02-17,S01,ITEM_A,0.0,50.0,0,0,7.0,500.0,0.2,3,2,7,0,1,2022
2022-02-18,S01,ITEM_A,18.0,50.0,0,0,7.0,500.0,0.2,4,2,7,0,1,2022
2022-02-19,S01,ITEM_A,36.0,50.0,0,0,7.0,500.0,0.2,5,2,7,1,1,2022
2022-02-20,S01,ITEM_A,36.0,50.0,0,0,7.0,500.0,0.2,6,2,7,1,1,2022
2022-02-21,S01,ITEM_A,34.0,50.0,0,0,7.0,500.0,0.2,0,2,8,0,1,2022
2022-02-22,S01,ITEM_A,0.0,50.0,0,0,7.0,500.0,0.2,1,2,8,0,1,2022
2022-02-23,S01,ITEM_A,27.0,50.0,0,0,7.0,500.0,0.2,2,2,8,0,1,2022
2022-02-24,S01,ITEM_A,34.0,50.0,0,0,7.0,500.0,0.2,3,2,8,0,1,2022
2022-02-25,S01,ITEM_A,30.0,50.0,0,0,7.0,500.0,0.2,4,2,8,0,1,2022
2022-02-26,S01,ITEM_A,34.0,50.0,0,0,7.0,500.0,0.2,5,2,8,1,1,2022
2022-02-27,S01,ITEM_A,30.0,50.0,0,0,7.0,500.0,0.2,6,2,8,1,1,2022
