date,store_id,item_id,qty_sold,unit_cost,promo_flag,stockout_flag,lead_time,ordering_cost,holding_rate,day_of_week,month,week_of_year,is_weekend,quarter,year,lag_1,lag_7,lag_14,lag_21,lag_28,rollmean_7,rollstd_7,rollmean_14,rollstd_14,rollmean_28,rollstd_28,expanding_mean,store_enc,item_enc
2022-01-29,S01,ITEM_A,0.0,50.0,0,0,7.0,500.0,0.2,5,1,4,1,1,2022,24.0,26.0,34.0,29.0,40.0,28.0,7.724420150837641,23.571428571428573,12.54355050775734,25.714285714285715,10.19388757615778,25.714285714285715,0,0
2022-01-30,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,6,1,4,1,1,2022,0.0,29.0,0.0,25.0,37.0,24.285714285714285,13.174650984805199,21.142857142857142,13.614794796934598,24.285714285714285,10.896336940924632,24.82758620689655,0,0
2022-01-31,S01,ITEM_A,26.0,50.0,0,0,7.0,500.0,0.2,0,1,5,0,1,2022,29.0,44.0,20.0,24.0,23.0,24.285714285714285,13.174650984805199,23.214285714285715,12.29245279040744,24.0,10.652768723739454,24.966666666666665,0,0
2022-02-01,S01,ITEM_A,50.0,50.0,1,0,7.0,500.0,0.2,1,2,5,0,1,2022,26.0,29.0,15.0,23.0,24.0,21.714285714285715,10.078265156832728,23.642857142857142,12.276350891400558,24.107142857142858,10.657424071073079,25.0,0,0
2022-02-02,S01,ITEM_A,35.0,50.0,1,0,7.0,500.0,0.2,2,2,5,0,1,2022,50.0,24.0,26.0,20.0,41.0,24.714285714285715,14.682350921137548,26.142857142857142,13.844505396377645,25.035714285714285,11.726772606612435,25.78125,0,0
2022-02-03,S01,ITEM_A,25.0,50.0,0,0,7.0,500.0,0.2,3,2,5,0,1,2022,35.0,20.0,0.0,28.0,29.0,26.285714285714285,15.173598625181016,26.785714285714285,14.044865316486371,24.821428571428573,11.476396296646087,26.060606060606062,0,0
2022-02-04,S01,ITEM_A,24.0,50.0,0,0,7.0,500.0,0.2,4,2,5,0,1,2022,25.0,24.0,39.0,19.0,28.0,27.0,14.944341180973261,28.571428571428573,11.784698590932265,24.678571428571427,11.447314326557358,26.029411764705884,0,0
2022-02-05,S01,ITEM_A,25.0,50.0,0,0,7.0,500.0,0.2,5,2,5,1,1,2022,24.0,0.0,26.0,34.0,29.0,27.0,14.944341180973261,27.5,11.440481431505207,24.535714285714285,11.429274118609062,25.97142857142857,0,0
2022-02-06,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,6,2,5,1,1,2022,25.0,29.0,29.0,0.0,25.0,30.571428571428573,9.36050466689951,27.428571428571427,11.453681206791694,24.392857142857142,11.396358371294937,25.944444444444443,0,0
2022-02-07,S01,ITEM_A,18.0,50.0,0,0,7.0,500.0,0.2,0,2,6,0,1,2022,29.0,26.0,44.0,20.0,24.0,30.571428571428573,9.36050466689951,27.428571428571427,11.453681206791694,24.535714285714285,11.429274118609062,26.027027027027028,0,0
2022-02-08,S01,ITEM_A,36.0,50.0,1,0,7.0,500.0,0.2,1,2,6,0,1,2022,18.0,50.0,29.0,15.0,23.0,29.428571428571427,10.438025721005905,25.571428571428573,10.638929137221155,24.321428571428573,11.4957434036306,25.81578947368421,0,0
2022-02-09,S01,ITEM_A,22.0,50.0,0,0,7.0,500.0,0.2,2,2,6,0,1,2022,36.0,35.0,24.0,26.0,20.0,27.428571428571427,6.39940473422184,26.071428571428573,10.97174192547022,24.785714285714285,11.701083023179692,26.076923076923077,0,0
2022-02-10,S01,ITEM_A,19.0,50.0,0,0,7.0,500.0,0.2,3,2,6,0,1,2022,22.0,25.0,20.0,0.0,28.0,25.571428571428573,5.682051943243238,25.928571428571427,11.013727697841356,24.857142857142858,11.676866289771688,25.975,0,0
2022-02-11,S01,ITEM_A,32.0,50.0,0,0,7.0,500.0,0.2,4,2,6,0,1,2022,19.0,24.0,24.0,39.0,19.0,24.714285714285715,6.210590034081186,25.857142857142858,11.058287131636362,24.535714285714285,11.710970301252814,25.804878048780488,0,0
2022-02-12,S01,ITEM_A,33.0,50.0,0,0,7.0,500.0,0.2,5,2,6,1,1,2022,32.0,25.0,0.0,26.0,34.0,25.857142857142858,6.768273325562715,26.428571428571427,11.161157134071207,25.0,11.741032827304926,25.952380952380953,0,0
2022-02-13,S01,ITEM_A,30.0,50.0,0,0,7.0,500.0,0.2,6,2,6,1,1,2022,33.0,29.0,29.0,29.0,0.0,27.0,7.257180352359077,28.785714285714285,8.257197992135028,24.964285714285715,11.714132467703253,26.11627906976744,0,0
2022-02-14,S01,ITEM_A,35.0,50.0,0,0,7.0,500.0,0.2,0,2,7,0,1,2022,30.0,18.0,26.0,44.0,20.0,27.142857142857142,7.31274165249877,28.857142857142858,8.263517065131186,26.035714285714285,10.671811755159768,26.204545454545453,0,0
2022-02-15,S01,ITEM_A,19.0,50.0,0,0,7.0,500.0,0.2,1,2,7,0,1,2022,35.0,36.0,50.0,29.0,15.0,29.571428571428573,6.553806600166111,29.5,8.373492975776875,26.571428571428573,10.733914999520506,26.4,0,0
2022-02-16,S01,ITEM_A,20.0,50.0,0,0,7.0,500.0,0.2,2,2,7,0,1,2022,19.0,22.0,35.0,24.0,26.0,27.142857142857142,6.914443130833009,27.285714285714285,6.402266082334522,26.714285714285715,10.599990016966453,26.23913043478261,0,0
2022-02-17,S01,ITEM_A,0.0,50.0,0,0,7.0,500.0,0.2,3,2,7,0,1,2022,20.0,19.0,25.0,20.0,0.0,26.857142857142858,7.197883286739496,26.214285714285715,6.265639772460733,26.5,10.67534369296666,26.106382978723403,0,0
2022-02-18,S01,ITEM_A,18.0,50.0,0,0,7.0,500.0,0.2,4,2,7,0,1,2022,0.0,32.0,24.0,24.0,39.0,24.142857142857142,12.375090187261552,24.428571428571427,9.411239481143202,26.5,10.67534369296666,25.5625,0,0
2022-02-19,S01,ITEM_A,36.0,50.0,0,0,7.0,500.0,0.2,5,2,7,1,1,2022,18.0,33.0,25.0,0.0,26.0,22.142857142857142,12.019824893740779,24.0,9.567573440452993,25.75,10.500881797188207,25.408163265306122,0,0
2022-02-20,S01,ITEM_A,36.0,50.0,0,0,7.0,500.0,0.2,6,2,7,1,1,2022,36.0,30.0,29.0,29.0,29.0,22.571428571428573,12.51475319848728,24.785714285714285,10.09324657251701,26.107142857142858,10.678255113787662,25.62,0,0
2022-02-21,S01,ITEM_A,34.0,50.0,0,0,7.0,500.0,0.2,0,2,8,0,1,2022,36.0,35.0,18.0,26.0,44.0,23.428571428571427,13.289809916588258,25.285714285714285,10.483896599646904,26.357142857142858,10.829364352312298,25.823529411764707,0,0
2022-02-22,S01,ITEM_A,0.0,50.0,0,0,7.0,500.0,0.2,1,2,8,0,1,2022,34.0,19.0,36.0,50.0,29.0,23.285714285714285,13.14932553041265,26.428571428571427,10.500654087424092,26.0,10.381607668264962,25.98076923076923,0,0
2022-02-23,S01,ITEM_A,27.0,50.0,0,0,7.0,500.0,0.2,2,2,8,0,1,2022,0.0,20.0,22.0,35.0,24.0,20.571428571428573,15.862504456076525,23.857142857142858,12.2402686173211,24.964285714285715,11.461633723821734,25.49056603773585,0,0
2022-02-24,S01,ITEM_A,34.0,50.0,0,0,7.0,500.0,0.2,3,2,8,0,1,2022,27.0,0.0,19.0,25.0,20.0,21.571428571428573,16.040128250288845,24.214285714285715,12.254848782474578,25.071428571428573,11.466306749611688,25.51851851851852,0,0
2022-02-25,S01,ITEM_A,30.0,50.0,0,0,7.0,500.0,0.2,4,2,8,0,1,2022,34.0,18.0,32.0,24.0,24.0,26.428571428571427,13.339879345495627,25.285714285714285,12.418525686239096,25.571428571428573,11.541963923740678,25.672727272727272,0,0
2022-02-26,S01,ITEM_A,34.0,50.0,0,0,7.0,500.0,0.2,5,2,8,1,1,2022,30.0,36.0,33.0,25.0,0.0,28.142857142857142,12.837816162008384,25.142857142857142,12.346641666443569,25.785714285714285,11.567377957179097,25.75,0,0
2022-02-27,S01,ITEM_A,30.0,50.0,0,0,7.0,500.0,0.2,6,2,8,1,1,2022,34.0,36.0,30.0,29.0,29.0,27.857142857142858,12.654756305154873,25.214285714285715,12.398378128601346,27.0,10.495148791139085,25.894736842105264,0,0
2022-02-28,S01,ITEM_A,24.0,50.0,0,0,7.0,500.0,0.2,0,2,9,0,1,2022,30.0,34.0,35.0,18.0,26.0,27.0,12.206555615733699,25.214285714285715,12.398378128601346,27.035714285714285,10.50390453983711,25.96551724137931,0,0
2022-03-01,S01,ITEM_A,30.0,50.0,0,0,7.0,500.0,0.2,1,3,9,0,1,2022,24.0,0.0,19.0,36.0,50.0,25.571428571428573,11.830147123023487,24.428571428571427,12.074858086213592,26.964285714285715,10.51799918607655,25.93220338983051,0,0
2022-03-02,S01,ITEM_A,19.0,50.0,0,0,7.0,500.0,0.2,2,3,9,0,1,2022,30.0,27.0,20.0,22.0,35.0,29.857142857142858,3.5790395093549394,25.214285714285715,12.05231271409109,26.25,9.528223183628578,26.0,0,0
2022-03-03,S01,ITEM_A,34.0,50.0,0,0,7.0,500.0,0.2,3,3,9,0,1,2022,19.0,34.0,0.0,19.0,25.0,28.714285714285715,5.437961803049781,25.142857142857142,12.088501484132271,25.678571428571427,9.463589372406426,25.885245901639344,0,0
2022-03-04,S01,ITEM_A,18.0,50.0,0,0,7.0,500.0,0.2,4,3,9,0,1,2022,34.0,30.0,18.0,32.0,24.0,28.714285714285715,5.437961803049781,27.571428571428573,9.8583372424975,26.0,9.591663046625444,26.016129032258064,0,0
2022-03-05,S01,ITEM_A,36.0,50.0,0,0,7.0,500.0,0.2,5,3,9,1,1,2022,18.0,34.0,36.0,33.0,25.0,27.0,6.708203932499361,27.571428571428573,9.8583372424975,25.785714285714285,9.704360008501501,25.88888888888889,0,0
2022-03-06,S01,ITEM_A,19.0,50.0,0,0,7.0,500.0,0.2,6,3,9,1,1,2022,36.0,30.0,36.0,30.0,29.0,27.285714285714285,7.087883692477969,27.571428571428573,9.8583372424975,26.178571428571427,9.892210071860594,26.046875,0,0
2022-03-07,S01,ITEM_A,0.0,50.0,0,0,7.0,500.0,0.2,0,3,10,0,1,2022,19.0,24.0,34.0,35.0,18.0,25.714285714285715,7.587583842793996,26.357142857142858,9.787017640002203,25.821428571428573,9.96681000056195,25.93846153846154,0,0
2022-03-08,S01,ITEM_A,25.0,50.0,0,0,7.0,500.0,0.2,1,3,10,0,1,2022,0.0,30.0,0.0,19.0,36.0,22.285714285714285,12.392393980641053,23.928571428571427,11.763465513152187,25.178571428571427,11.015321220341315,25.545454545454547,0,0
2022-03-09,S01,ITEM_A,45.0,50.0,1,0,7.0,500.0,0.2,2,3,10,0,1,2022,25.0,19.0,27.0,20.0,22.0,21.571428571428573,12.011898862615949,25.714285714285715,9.538816016100268,24.785714285714285,10.809314031948093,25.53731343283582,0,0
2022-03-10,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,3,3,10,0,1,2022,45.0,34.0,34.0,0.0,19.0,25.285714285714285,14.784161409137432,27.0,10.848608560193686,25.607142857142858,11.445003068505281,25.823529411764707,0,0
2022-03-11,S01,ITEM_A,25.0,50.0,0,0,7.0,500.0,0.2,4,3,10,0,1,2022,29.0,18.0,30.0,18.0,32.0,24.571428571428573,14.408991901553959,26.642857142857142,10.681451520903261,25.964285714285715,11.38706915388433,25.869565217391305,0,0
2022-03-12,S01,ITEM_A,30.0,50.0,0,0,7.0,500.0,0.2,5,3,10,1,1,2022,25.0,36.0,34.0,36.0,33.0,25.571428571428573,14.116859221714801,26.285714285714285,10.644092413010293,25.714285714285715,11.326328367379888,25.857142857142858,0,0
2022-03-13,S01,ITEM_A,32.0,50.0,0,0,7.0,500.0,0.2,6,3,10,1,1,2022,30.0,19.0,30.0,36.0,30.0,24.714285714285715,13.548853404308002,26.0,10.473409554309795,25.607142857142858,11.268899468807737,25.91549295774648,0,0
2022-03-14,S01,ITEM_A,23.0,50.0,0,0,7.0,500.0,0.2,0,3,11,0,1,2022,32.0,0.0,24.0,34.0,35.0,26.571428571428573,13.52598909331147,26.142857142857142,10.545557889879094,25.678571428571427,11.304058829984305,26.0,0,0
2022-03-15,S01,ITEM_A,22.0,50.0,0,0,7.0,500.0,0.2,1,3,11,0,1,2022,23.0,25.0,30.0,0.0,19.0,29.857142857142858,7.403345447128862,26.071428571428573,10.564558207037818,25.25,11.164178827342788,25.958904109589042,0,0
2022-03-16,S01,ITEM_A,22.0,50.0,0,0,7.0,500.0,0.2,2,3,11,0,1,2022,22.0,45.0,19.0,27.0,20.0,29.428571428571427,7.807200583588255,25.5,10.552068699840513,25.357142857142858,11.116268644263176,25.905405405405407,0,0
2022-03-17,S01,ITEM_A,30.0,50.0,0,0,7.0,500.0,0.2,3,3,11,0,1,2022,22.0,29.0,34.0,34.0,0.0,26.142857142857142,4.140393356054111,25.714285714285715,10.439780217466792,25.428571428571427,11.086957874937337,25.85333333333333,0,0
2022-03-18,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,4,3,11,0,1,2022,30.0,25.0,18.0,30.0,18.0,26.285714285714285,4.270608298368643,25.428571428571427,10.248559266207472,26.5,9.927515074556958,25.907894736842106,0,0
2022-03-19,S01,ITEM_A,25.0,50.0,0,0,7.0,500.0,0.2,5,3,11,1,1,2022,29.0,30.0,36.0,34.0,36.0,26.857142857142858,4.336994790119499,26.214285714285715,10.055068155134286,26.892857142857142,9.795461102013435,25.948051948051948,0,0
2022-03-20,S01,ITEM_A,38.0,50.0,0,0,7.0,500.0,0.2,6,3,11,1,1,2022,25.0,32.0,19.0,30.0,36.0,26.142857142857142,4.140393356054111,25.428571428571427,9.653331714326054,26.5,9.635966575899479,25.935897435897434,0,0
2022-03-21,S01,ITEM_A,36.0,50.0,0,0,7.0,500.0,0.2,0,3,12,0,1,2022,38.0,23.0,0.0,24.0,34.0,27.0,5.830951894845289,26.785714285714285,10.009061828229392,26.571428571428573,9.716075154202775,26.088607594936708,0,0
2022-03-22,S01,ITEM_A,37.0,50.0,1,0,7.0,500.0,0.2,1,3,12,0,1,2022,36.0,22.0,25.0,30.0,0.0,28.857142857142858,6.388233230676824,29.357142857142858,6.663414957895011,26.642857142857142,9.779851872370191,26.2125,0,0
2022-03-23,S01,ITEM_A,24.0,50.0,0,0,7.0,500.0,0.2,2,3,12,0,1,2022,37.0,22.0,45.0,19.0,27.0,31.0,6.218252702059194,30.214285714285715,6.829557609600876,27.964285714285715,8.45678400854579,26.34567901234568,0,0
2022-03-24,S01,ITEM_A,25.0,50.0,0,0,7.0,500.0,0.2,3,3,12,0,1,2022,24.0,30.0,29.0,34.0,34.0,31.285714285714285,5.765248931147296,28.714285714285715,5.511227301937965,27.857142857142858,8.488398556436314,26.317073170731707,0,0
2022-03-25,S01,ITEM_A,18.0,50.0,0,0,7.0,500.0,0.2,4,3,12,0,1,2022,25.0,29.0,25.0,18.0,30.0,30.571428571428573,6.241184258807038,28.428571428571427,5.598272889084578,27.535714285714285,8.417275634106867,26.301204819277107,0,0
2022-03-26,S01,ITEM_A,37.0,50.0,0,0,7.0,500.0,0.2,5,3,12,1,1,2022,18.0,25.0,30.0,36.0,34.0,29.0,7.874007874011799,27.928571428571427,6.207492813766849,27.107142857142858,8.590862008722414,26.202380952380953,0,0
2022-03-27,S01,ITEM_A,37.0,50.0,0,0,7.0,500.0,0.2,6,3,12,1,1,2022,37.0,38.0,32.0,19.0,30.0,30.714285714285715,8.159131606453494,28.428571428571427,6.6530997485184535,27.214285714285715,8.698050623909056,26.32941176470588,0,0
2022-03-28,S01,ITEM_A,19.0,50.0,0,0,7.0,500.0,0.2,0,3,13,0,1,2022,37.0,36.0,23.0,0.0,24.0,30.571428571428573,8.017837257372719,28.785714285714285,6.985463713791901,27.464285714285715,8.879782041273826,26.453488372093023,0,0
2022-03-29,S01,ITEM_A,23.0,50.0,0,0,7.0,500.0,0.2,1,3,13,0,1,2022,19.0,37.0,22.0,25.0,30.0,28.142857142857142,8.649249898663099,28.5,7.314369419163899,27.285714285714285,9.001469603706669,26.367816091954023,0,0
2022-03-30,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,2,3,13,0,1,2022,23.0,24.0,22.0,45.0,19.0,26.142857142857142,7.8406753839315595,28.571428571428573,7.2506157373997295,27.035714285714285,9.020479345303535,26.329545454545453,0,0
2022-03-31,S01,ITEM_A,18.0,50.0,0,0,7.0,500.0,0.2,3,3,13,0,1,2022,29.0,25.0,30.0,29.0,34.0,26.857142857142858,7.8406753839315595,29.071428571428573,6.99960752431917,27.392857142857142,8.887524696904944,26.359550561797754,0,0
2022-04-01,S01,ITEM_A,0.0,50.0,0,0,7.0,500.0,0.2,4,4,13,0,2,2022,18.0,18.0,29.0,25.0,18.0,25.857142857142858,8.532849688675151,28.214285714285715,7.587221762011053,26.821428571428573,8.96104148803389,26.266666666666666,0,0
2022-04-02,S01,ITEM_A,39.0,50.0,0,0,7.0,500.0,0.2,5,4,13,1,2,2022,0.0,37.0,25.0,30.0,36.0,23.285714285714285,12.893335303097299,26.142857142857142,10.683251758330332,26.178571428571427,10.180058834977233,25.978021978021978,0,0
2022-04-03,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,6,4,13,1,2,2022,39.0,37.0,38.0,32.0,19.0,23.571428571428573,13.264704329625324,27.142857142857142,11.210277858747734,26.285714285714285,10.302308777044408,26.119565217391305,0,0
2022-04-04,S01,ITEM_A,22.0,50.0,0,0,7.0,500.0,0.2,0,4,14,0,2,2022,29.0,19.0,36.0,23.0,0.0,22.428571428571427,12.21825332384765,26.5,10.789952591326662,26.642857142857142,10.213332918894272,26.150537634408604,0,0
2022-04-05,S01,ITEM_A,27.0,50.0,0,0,7.0,500.0,0.2,1,4,14,0,2,2022,22.0,23.0,37.0,22.0,25.0,22.857142857142858,12.130245551630725,25.5,10.486254739492955,27.428571428571427,8.841939503293057,26.106382978723403,0,0
2022-04-06,S01,ITEM_A,19.0,50.0,0,0,7.0,500.0,0.2,2,4,14,0,2,2022,27.0,29.0,24.0,22.0,45.0,23.428571428571427,12.23188651104348,24.785714285714285,9.97056106305397,27.5,8.829663808037258,26.11578947368421,0,0
2022-04-07,S01,ITEM_A,0.0,50.0,0,0,7.0,500.0,0.2,3,4,14,0,2,2022,19.0,18.0,25.0,30.0,29.0,22.0,12.05542754668341,24.428571428571427,10.089707518169087,26.571428571428573,8.270557200220338,26.041666666666668,0,0
2022-04-08,S01,ITEM_A,37.0,50.0,1,0,7.0,500.0,0.2,4,4,14,0,2,2022,0.0,0.0,18.0,29.0,25.0,19.428571428571427,14.68397247406326,22.642857142857142,12.010297779291433,25.535714285714285,9.655097072059895,25.77319587628866,0,0
2022-04-09,S01,ITEM_A,43.0,50.0,0,0,7.0,500.0,0.2,5,4,14,1,2,2022,37.0,39.0,37.0,25.0,30.0,24.714285714285715,13.098527725337243,24.0,12.508458676493218,25.964285714285715,9.89381453927484,25.887755102040817,0,0
2022-04-10,S01,ITEM_A,18.0,50.0,0,0,7.0,500.0,0.2,6,4,14,1,2,2022,43.0,29.0,37.0,38.0,32.0,25.285714285714285,13.889015872435374,24.428571428571427,13.077957295884056,26.428571428571427,10.383136511166743,26.060606060606062,0,0
2022-04-11,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,0,4,15,0,2,2022,18.0,22.0,19.0,36.0,23.0,23.714285714285715,14.020393310154622,23.071428571428573,12.651933787821864,25.928571428571427,10.44182675740917,25.98,0,0
2022-04-12,S01,ITEM_A,29.0,50.0,0,0,7.0,500.0,0.2,1,4,15,0,2,2022,29.0,27.0,23.0,37.0,22.0,24.714285714285715,14.12697520955666,23.785714285714285,12.686628766167528,26.142857142857142,10.441066660828916,26.00990099009901,0,0
