date,store_id,item_id,qty_sold,unit_cost,promo_flag,stockout_flag,lead_time,ordering_cost,holding_rate
2022-01-01,S01,ITEM_A,40,50,0,0,7,500,0.2
2022-01-02,S01,ITEM_A,37,50,0,0,7,500,0.2
2022-01-03,S01,ITEM_A,23,50,0,0,7,500,0.2
2022-01-04,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-01-05,S01,ITEM_A,41,50,1,0,7,500,0.2
2022-01-06,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-01-07,S01,ITEM_A,28,50,1,0,7,500,0.2
2022-01-08,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-01-09,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-01-10,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-01-11,S01,ITEM_A,23,50,0,0,7,500,0.2
2022-01-12,S01,ITEM_A,20,50,0,0,7,500,0.2
2022-01-13,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-01-14,S01,ITEM_A,19,50,0,0,7,500,0.2
2022-01-15,S01,ITEM_A,34,50,0,0,7,500,0.2
2022-01-16,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-01-17,S01,ITEM_A,20,50,0,0,7,500,0.2
2022-01-18,S01,ITEM_A,15,50,0,0,7,500,0.2
2022-01-19,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-01-20,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-01-21,S01,ITEM_A,39,50,1,0,7,500,0.2
2022-01-22,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-01-23,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-01-24,S01,ITEM_A,44,50,1,0,7,500,0.2
2022-01-25,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-01-26,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-01-27,S01,ITEM_A,20,50,0,0,7,500,0.2
2022-01-28,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-01-29,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-01-30,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-01-31,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-02-01,S01,ITEM_A,50,50,1,0,7,500,0.2
2022-02-02,S01,ITEM_A,35,50,1,0,7,500,0.2
2022-02-03,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-02-04,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-02-05,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-02-06,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-02-07,S01,ITEM_A,18,50,0,0,7,500,0.2
2022-02-08,S01,ITEM_A,36,50,1,0,7,500,0.2
2022-02-09,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-02-10,S01,ITEM_A,19,50,0,0,7,500,0.2
2022-02-11,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-02-12,S01,ITEM_A,33,50,0,0,7,500,0.2
2022-02-13,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-02-14,S01,ITEM_A,35,50,0,0,7,500,0.2
2022-02-15,S01,ITEM_A,19,50,0,0,7,500,0.2
2022-02-16,S01,ITEM_A,20,50,0,0,7,500,0.2
2022-02-17,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-02-18,S01,ITEM_A,18,50,0,0,7,500,0.2
2022-02-19,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-02-20,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-02-21,S01,ITEM_A,34,50,0,0,7,500,0.2
2022-02-22,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-02-23,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-02-24,S01,ITEM_A,34,50,0,0,7,500,0.2
2022-02-25,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-02-26,S01,ITEM_A,34,50,0,0,7,500,0.2
2022-02-27,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-02-28,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-03-01,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-03-02,S01,ITEM_A,19,50,0,0,7,500,0.2
2022-03-03,S01,ITEM_A,34,50,0,0,7,500,0.2
2022-03-04,S01,ITEM_A,18,50,0,0,7,500,0.2
2022-03-05,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-03-06,S01,ITEM_A,19,50,0,0,7,500,0.2
2022-03-07,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-03-08,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-03-09,S01,ITEM_A,45,50,1,0,7,500,0.2
2022-03-10,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-03-11,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-03-12,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-03-13,S01,ITEM_A,32,50,0,0,7,500,0.2
2022-03-14,S01,ITEM_A,23,50,0,0,7,500,0.2
2022-03-15,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-03-16,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-03-17,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-03-18,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-03-19,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-03-20,S01,ITEM_A,38,50,0,0,7,500,0.2
2022-03-21,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-03-22,S01,ITEM_A,37,50,1,0,7,500,0.2
2022-03-23,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-03-24,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-03-25,S01,ITEM_A,18,50,0,0,7,500,0.2
2022-03-26,S01,ITEM_A,37,50,0,0,7,500,0.2
2022-03-27,S01,ITEM_A,37,50,0,0,7,500,0.2
2022-03-28,S01,ITEM_A,19,50,0,0,7,500,0.2
2022-03-29,S01,ITEM_A,23,50,0,0,7,500,0.2
2022-03-30,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-03-31,S01,ITEM_A,18,50,0,0,7,500,0.2
2022-04-01,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-04-02,S01,ITEM_A,39,50,0,0,7,500,0.2
2022-04-03,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-04-04,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-04-05,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-04-06,S01,ITEM_A,19,50,0,0,7,500,0.2
2022-04-07,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-04-08,S01,ITEM_A,37,50,1,0,7,500,0.2
2022-04-09,S01,ITEM_A,43,50,0,0,7,500,0.2
2022-04-10,S01,ITEM_A,18,50,0,0,7,500,0.2
2022-04-11,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-04-12,S01,ITEM_A,29,50,0,0,7,500,0.2
2022-04-13,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-04-14,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-04-15,S01,ITEM_A,36,50,0,0,7,500,0.2
2022-04-16,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-04-17,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-04-18,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-04-19,S01,ITEM_A,24,50,0,0,7,500,0.2
2022-04-20,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-04-21,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-04-22,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-04-23,S01,ITEM_A,30,50,0,0,7,500,0.2
2022-04-24,S01,ITEM_A,42,50,0,0,7,500,0.2
2022-04-25,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-04-26,S01,ITEM_A,14,50,0,0,7,500,0.2
2022-04-27,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-04-28,S01,ITEM_A,31,50,0,0,7,500,0.2
2022-04-29,S01,ITEM_A,18,50,0,0,7,500,0.2
2022-04-30,S01,ITEM_A,37,50,0,0,7,500,0.2
2022-05-01,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-05-02,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-05-03,S01,ITEM_A,19,50,0,0,7,500,0.2
2022-05-04,S01,ITEM_A,40,50,1,0,7,500,0.2
2022-05-05,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-05-06,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-05-07,S01,ITEM_A,23,50,0,0,7,500,0.2
2022-05-08,S01,ITEM_A,35,50,0,0,7,500,0.2
2022-05-09,S01,ITEM_A,33,50,1,0,7,500,0.2
2022-05-10,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-05-11,S01,ITEM_A,33,50,0,0,7,500,0.2
2022-05-12,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-05-13,S01,ITEM_A,33,50,0,0,7,500,0.2
2022-05-14,S01,ITEM_A,27,50,0,0,7,500,0.2
2022-05-15,S01,ITEM_A,0,50,0,1,7,500,0.2
2022-05-16,S01,ITEM_A,28,50,0,0,7,500,0.2
2022-05-17,S01,ITEM_A,25,50,0,0,7,500,0.2
2022-05-18,S01,ITEM_A,31,50,0,0,7,500,0.2
2022-05-19,S01,ITEM_A,26,50,0,0,7,500,0.2
2022-05-20,S01,ITEM_A,22,50,0,0,7,500,0.2
2022-05-21,S01,ITEM_A,25,50,0,0,7,500,0.2
